CUID,Date,Year,Month,Income Before Taxes,Number of Bedrooms,Number of Bathrooms,State,Urban,People,Adults,65 or Older,Children,Working,Retired,Education,Race,Sex,Renter,Owner,Food-Away,Food-Home,Food-Total,High lead-Food-Away Spending
346395,2017-01-01,2017,1,21439.85766379085,2.0,1.0,Pennsylvania,1,1,1,0,0,0,0,High School,White,Male,0.0,1.0,0.0,449.99619853697385,449.99619853697385,0
346414,2017-01-01,2017,1,101657.4309170202,3.0,2.0,Washington,1,3,3,1,0,3,0,Bachelors,Multi or Other Race,Mixed Gender,0.0,1.0,224.99809926848687,569.9951848135014,794.9932840819883,0
346419,2017-01-01,2017,1,27805.19002889762,3.0,1.0,Georgia,1,3,3,0,0,1,1,Some College,White,Mixed Gender,1.0,0.0,0.0,1049.9911299196044,1049.9911299196044,0
346423,2017-01-01,2017,1,17317.872125849128,2.0,1.0,Texas,1,2,2,1,0,0,1,Some College,White,Mixed Gender,0.0,1.0,867.6849776918071,1429.6033076597707,2297.288285351578,0
346427,2017-01-01,2017,1,234742.69619980693,5.0,2.0,New York,1,7,2,0,5,2,0,Bachelors,Black,Mixed Gender,0.0,1.0,0.0,1949.9835269935525,1949.9835269935525,0
346436,2017-01-01,2017,1,23053.61039117296,3.0,1.0,Texas,1,2,2,1,0,1,1,Less than High School,White,Female,0.0,1.0,449.99619853697385,1274.9892291880917,1724.9854277250654,0
346437,2017-01-01,2017,1,184659.41923329543,4.0,2.0,Pennsylvania,1,2,2,0,0,2,0,Bachelors,White,Mixed Gender,0.0,1.0,1603.8326050420335,669.2251157729344,2273.057720814968,1
346457,2017-01-01,2017,1,4940.388706828366,2.0,1.0,Pennsylvania,1,2,2,1,0,1,1,High School,White,Mixed Gender,0.0,1.0,224.99809926848687,1574.9866948794083,1799.9847941478952,0
346475,2017-01-01,2017,1,85085.80415953335,5.0,4.0,Georgia,1,5,5,0,0,5,0,Bachelors,Asian/PI,Mixed Gender,0.0,1.0,775.3780651714011,1958.06038183909,2733.438447010491,0
346476,2017-01-01,2017,1,113307.34239209554,4.0,1.0,Massachuse,1,5,5,0,0,3,0,Some College,White,Mixed Gender,0.0,1.0,81.92238486185946,2706.9002096608738,2788.822594522733,0
346481,2017-01-01,2017,1,107595.34934547462,4.0,2.0,New York,1,5,2,0,3,2,0,Bachelors,Black,Mixed Gender,1.0,0.0,749.993664228291,2699.977191221842,3449.970855450133,0
346484,2017-01-01,2017,1,263716.5890074851,4.0,2.0,Virginia,1,2,2,0,0,1,0,Some College,White,Mixed Gender,0.0,1.0,680.9855775360274,1124.9904963424349,1805.976073878462,0
346492,2017-01-01,2017,1,40445.25407027384,3.0,2.0,Arizona,1,2,2,2,0,0,2,High School,White,Mixed Gender,0.0,1.0,749.993664228291,749.993664228291,1499.987328456582,0
346496,2017-01-01,2017,1,50825.37268500338,4.0,2.0,California,1,7,2,0,5,2,0,Some College,Multi or Other Race,Female,1.0,0.0,299.99746569131605,1349.9885956109215,1649.9860613022374,0
346506,2017-01-01,2017,1,321926.9552451968,3.0,2.0,Michigan,1,4,2,0,2,2,0,Bachelors,White,Mixed Gender,0.0,1.0,1228.83577292789,4171.118609515796,5399.954382443686,1
346573,2017-01-01,2017,1,31871.616365796617,3.0,2.0,Arizona,1,2,2,0,0,1,1,Bachelors,White,Mixed Gender,0.0,1.0,392.30437821171967,1603.8326050420335,1996.1369832537532,0
346579,2017-01-01,2017,1,87161.78177525847,3.0,2.0,California,1,6,2,0,4,2,0,High School,White,Mixed Gender,1.0,0.0,3253.818666344273,2549.978458376186,5803.797124720459,1
346580,2017-01-01,2017,1,87474.61926826669,3.0,1.0,Massachuse,1,5,2,0,3,2,0,Bachelors,White,Mixed Gender,1.0,0.0,374.9968321141437,1649.9860613022388,2024.9828934163825,0
346583,2017-01-01,2017,1,212783.44069390293,3.0,2.0,California,1,2,2,0,0,2,0,Graduate Degree,White,Mixed Gender,1.0,0.0,2249.9809926848693,1274.9892291880917,3524.970221872961,1
346624,2017-01-01,2017,1,306741.887884687,4.0,3.0,North Carolina,1,4,2,0,2,2,0,Bachelors,White,Mixed Gender,0.0,1.0,224.99809926848687,3161.5117538238665,3386.5098530923533,0
346627,2017-01-01,2017,1,47573.43040322452,3.0,2.0,California,1,2,2,0,0,1,0,Graduate Degree,White,Mixed Gender,0.0,1.0,950.815641246704,2695.263047424858,3646.0786886715614,0
346631,2017-01-01,2017,1,66855.47013440159,2.0,2.0,New York,1,3,2,0,1,2,0,Some College,Multi or Other Race,Mixed Gender,0.0,1.0,403.8427422767716,1603.8326050420335,2007.6753473188053,0
346648,2017-01-01,2017,1,26421.74286932333,3.0,1.0,Kansas,1,2,2,0,0,2,0,High School,White,Mixed Gender,0.0,1.0,524.995564959804,974.991763496778,1499.987328456582,0
346660,2017-01-01,2017,1,74924.23377131212,2.0,2.0,Texas,1,6,3,0,3,3,0,High School,White,Mixed Gender,1.0,0.0,0.0,3749.9683211414376,3749.9683211414376,0
346740,2017-01-01,2017,1,231242.69707021903,3.0,2.0,Arizona,1,4,2,0,2,2,0,Graduate Degree,White,Mixed Gender,0.0,1.0,531.9185833988344,2873.0526521976026,3404.971235596437,0
346742,2017-01-01,2017,1,66773.62981751292,3.0,2.0,Illinois,1,4,2,0,2,2,0,Graduate Degree,White,Mixed Gender,0.0,1.0,599.9949313826306,2239.596465026324,2839.591396408954,0
346748,2017-01-01,2017,1,98342.09120666562,3.0,2.0,New York,1,2,2,1,0,0,2,Graduate Degree,White,Mixed Gender,0.0,1.0,438.4578344719233,899.9923970739477,1338.450231545871,0
346765,2017-01-01,2017,1,149862.29970885895,5.0,3.0,Connecticut,1,2,2,0,0,2,0,Bachelors,White,Mixed Gender,0.0,1.0,0.0,1499.9873284565783,1499.9873284565783,0
346776,2017-01-01,2017,1,22408.10930022012,2.0,2.0,Florida,1,1,1,1,0,0,1,Less than High School,White,Male,0.0,1.0,749.993664228291,599.9949313826306,1349.9885956109215,0
346798,2017-01-01,2017,1,33427.7350672008,2.0,1.0,Florida,1,2,2,0,0,2,0,Some College,White,Mixed Gender,1.0,0.0,575.7643668460244,1182.682316667689,1758.4466835137134,0
346806,2017-01-01,2017,1,77718.5618868262,3.0,2.0,Louisiana,1,1,1,0,0,1,0,High School,White,Male,0.0,1.0,899.9923970739477,1274.989229188095,2174.9816262620425,0
346817,2017-01-01,2017,1,153306.50910130018,4.0,2.0,Illinois,1,4,2,0,2,2,0,Graduate Degree,White,Mixed Gender,0.0,1.0,1124.9904963424349,1874.9841605707256,2999.9746569131603,0
346820,2017-01-01,2017,1,195955.68832497016,4.0,2.0,Oregon,1,4,2,0,2,2,0,Graduate Degree,White,Mixed Gender,0.0,1.0,1176.9131346351624,2688.4388271567936,3865.351961791956,1
346841,2017-01-01,2017,1,91061.7610451332,1.0,1.0,New York,1,1,1,0,0,1,0,Bachelors,White,Male,1.0,0.0,882.6848509763718,1759.600519920217,2642.2853708965886,0
346843,2017-01-01,2017,1,54714.28622189035,2.0,1.0,New York,1,4,2,0,2,2,0,Some College,White,Mixed Gender,1.0,0.0,775.3780651714011,1199.989862765265,1975.367927936666,0
346845,2017-01-01,2017,1,51870.623380139165,1.0,1.0,Florida,1,1,1,0,0,1,0,Some College,White,Female,1.0,0.0,749.993664228291,749.993664228291,1499.987328456582,0
346867,2017-01-01,2017,1,46579.819795364965,2.0,1.0,Maryland,1,3,3,0,0,2,0,High School,Multi or Other Race,Mixed Gender,1.0,0.0,149.99873284565783,1274.9892291880926,1424.9879620337504,0
346889,2017-01-01,2017,1,20748.249352055664,1.0,1.0,Texas,1,1,1,0,0,1,0,Bachelors,Black,Male,1.0,0.0,262.068863346466,819.2238486185945,1081.2927119650606,0
346894,2017-01-01,2017,1,39202.66447018962,3.0,2.0,Washington,1,1,1,0,0,1,0,Some College,White,Female,0.0,1.0,0.0,1194.2206807327384,1194.2206807327384,0
346896,2017-01-01,2017,1,263716.5890074851,5.0,5.0,New Jersey,1,5,2,0,3,1,0,Graduate Degree,White,Mixed Gender,0.0,1.0,9277.95519679091,8249.930306511174,17527.885503302085,1
346908,2017-01-01,2017,1,32275.054547642147,4.0,2.0,California,1,3,2,0,1,1,0,Less than High School,White,Mixed Gender,0.0,1.0,0.0,1176.9131346351624,1176.9131346351624,0
346909,2017-01-01,2017,1,30467.651492974182,2.0,2.0,Kansas,1,2,2,2,0,0,2,Bachelors,White,Mixed Gender,0.0,1.0,74.9993664228291,449.99619853697385,524.995564959803,0
346939,2017-01-01,2017,1,59630.46863780798,2.0,1.0,Louisiana,1,1,1,1,0,1,0,High School,Black,Male,0.0,1.0,299.99746569131605,1251.9125010579926,1551.9099667493088,0
346946,2017-01-01,2017,1,83694.97984463387,4.0,3.0,Alabama,1,2,2,1,0,1,1,Graduate Degree,Black,Female,0.0,1.0,899.9923970739477,749.993664228291,1649.9860613022388,0
346981,2017-01-01,2017,1,44813.452167193296,3.0,1.0,New York,1,2,2,0,0,2,0,Some College,Black,Female,1.0,0.0,1054.6064755456268,2208.442882050687,3263.0493575963137,0
346985,2017-01-01,2017,1,40343.81818455268,3.0,1.0,Connecticut,1,5,1,0,4,1,0,High School,Black,Female,1.0,0.0,0.0,1649.9860613022388,1649.9860613022388,0
346991,2017-01-01,2017,1,47259.90130190457,1.0,1.0,Texas,1,4,2,0,2,2,0,High School,White,Mixed Gender,1.0,0.0,449.99619853697385,974.9917634967776,1424.9879620337515,0
347009,2017-01-01,2017,1,41985.46578050811,1.0,1.0,Ohio,1,2,2,0,0,2,0,Some College,White,Mixed Gender,1.0,0.0,449.99619853697385,669.2251157729344,1119.2213143099082,0
347057,2017-01-01,2017,1,73771.55325175347,1.0,1.0,California,1,3,3,0,0,2,1,Bachelors,White,Mixed Gender,1.0,0.0,1586.3192294216128,1321.1426854482963,2907.4619148699094,0
347067,2017-01-01,2017,1,27316.22295250084,4.0,2.0,Illinois,1,1,1,1,0,0,1,Graduate Degree,Black,Female,0.0,1.0,0.0,1009.6068556919296,1009.6068556919296,0
347081,2017-01-01,2017,1,31122.374028083497,4.0,3.0,Alabama,1,1,1,0,0,1,0,Some College,White,Female,0.0,1.0,2999.9746569131603,1499.9873284565797,4499.96198536974,0
347108,2017-01-01,2017,1,28443.08342842137,2.0,1.0,Colorado,1,3,2,0,1,1,0,High School,White,Mixed Gender,1.0,0.0,0.0,1251.9125010579926,1251.9125010579926,0
347115,2017-01-01,2017,1,36110.02263621377,4.0,2.0,California,1,2,2,2,0,0,2,Graduate Degree,Multi or Other Race,Mixed Gender,0.0,1.0,3071.8700136799584,2607.6702787014374,5679.540292381396,0
347129,2017-01-01,2017,1,230536.1039117296,4.0,2.0,North Carolina,1,5,2,0,3,2,0,Bachelors,White,Mixed Gender,0.0,1.0,1349.9885956109204,2581.1320413518206,3931.1206369627407,0
347131,2017-01-01,2017,1,92195.9986763789,3.0,2.0,Florida,1,2,2,0,0,1,0,Some College,White,Mixed Gender,0.0,1.0,0.0,2296.1344489450707,2296.1344489450707,0
349196,2017-02-01,2017,2,93016.76372433233,2.0,1.0,Illinois,1,3,1,0,2,1,0,Some College,White,Female,0.0,1.0,921.3978410013926,1497.27149162726,2418.6693326286527,0
349203,2017-02-01,2017,2,83656.22921919843,3.0,2.0,Connecticut,1,4,2,0,2,2,0,Graduate Degree,White,Mixed Gender,0.0,1.0,0.0,1048.0900441390816,1048.0900441390816,0
349216,2017-02-01,2017,2,56536.90216462312,1.0,1.0,Michigan,1,1,1,0,0,0,1,Some College,White,Female,1.0,0.0,299.4542983254523,748.6357458136317,1048.090044139084,0
349217,2017-02-01,2017,2,1043.404617184508,2.0,1.0,Illinois,1,1,1,0,0,1,0,Some College,White,Female,1.0,0.0,368.5591364005567,1596.321759534911,1964.880895935468,0
349247,2017-02-01,2017,2,60415.65540784403,5.0,2.0,Utah,1,2,2,0,0,2,0,Some College,White,Mixed Gender,0.0,1.0,1324.1817522471958,2245.9072374408915,3570.088989688087,0
349274,2017-02-01,2017,2,8691.974145796936,1.0,1.0,Michigan,1,1,1,1,0,0,0,Less than High School,Black,Female,1.0,0.0,0.0,680.682655039778,680.682655039778,0
349292,2017-02-01,2017,2,43092.151040109085,3.0,1.0,Texas,1,3,3,0,0,2,0,Some College,White,Male,0.0,1.0,403.1115554381089,1151.7473012517382,1554.858856689847,0
349301,2017-02-01,2017,2,4121.9078874899005,1.0,1.0,California,1,2,1,0,1,1,0,Some College,White,Female,1.0,0.0,0.0,598.9085966509033,598.9085966509033,0
349313,2017-02-01,2017,2,82736.92999700944,2.0,1.0,Illinois,1,2,2,0,0,2,0,Graduate Degree,Multi or Other Race,Mixed Gender,1.0,0.0,898.3628949763568,1497.27149162726,2395.634386603617,0
349317,2017-02-01,2017,2,93079.04624663564,3.0,1.0,New York,1,2,2,0,0,2,0,Some College,White,Male,0.0,1.0,1117.194882214186,2070.8416476506286,3188.036529864815,0
349342,2017-02-01,2017,2,164324.73596628263,3.0,2.0,New York,1,2,2,0,0,2,0,Bachelors,White,Mixed Gender,0.0,1.0,817.7405838887362,2015.5577771905428,2833.298361079279,0
349394,2017-02-01,2017,2,18836.900712263578,4.0,2.0,Connecticut,1,2,2,0,0,0,1,Some College,Multi or Other Race,Mixed Gender,0.0,1.0,611.413994868521,772.80278048838,1384.216775356901,0
349428,2017-02-01,2017,2,92698.22654384383,3.0,3.0,Kansas,1,3,3,1,0,3,0,Some College,White,Mixed Gender,0.0,1.0,282.3642393267286,524.0450220695426,806.4092613962712,0
349429,2017-02-01,2017,2,220659.85195163527,3.0,2.0,Utah,1,2,2,1,0,2,0,Graduate Degree,White,Mixed Gender,0.0,1.0,511.2101447668847,1497.27149162726,2008.4816363941447,0
349436,2017-02-01,2017,2,83764.01705300009,3.0,2.0,California,1,4,4,2,0,2,1,Some College,White,Mixed Gender,0.0,1.0,449.1814474881784,2245.9072374408915,2695.08868492907,0
349439,2017-02-01,2017,2,469745.2402401737,4.0,2.0,Maryland,1,2,2,0,0,2,0,Graduate Degree,Multi or Other Race,Mixed Gender,0.0,1.0,1693.1429930480767,3247.9273895299048,4941.070382577982,1
349450,2017-02-01,2017,2,20377.416383846783,5.0,3.0,Texas,1,5,1,0,4,1,0,Less than High School,White,Female,1.0,0.0,0.0,4491.814474881783,4491.814474881783,0
349505,2017-02-01,2017,2,77091.97312315794,2.0,2.0,Arizona,1,3,2,0,1,2,0,Some College,White,Mixed Gender,0.0,1.0,374.31787290681416,1933.7837188016715,2308.1015917084856,0
349515,2017-02-01,2017,2,24696.97360410732,2.0,2.0,Nebraska,1,1,1,1,0,0,1,Some College,White,Male,0.0,1.0,973.226469557721,673.7721712322685,1646.9986407899896,0
349516,2017-02-01,2017,2,27627.92934925137,2.0,1.0,Minnesota,1,1,1,0,0,1,0,Less than High School,White,Male,1.0,0.0,598.9085966509033,2245.9072374408915,2844.815834091795,1
349521,2017-02-01,2017,2,293814.3515937549,5.0,4.0,Georgia,1,4,2,0,2,2,0,Graduate Degree,Asian/PI,Mixed Gender,0.0,1.0,2038.265079023272,898.3628949763568,2936.627973999629,0
349545,2017-02-01,2017,2,113188.71673201986,4.0,4.0,Minnesota,1,3,2,0,1,2,0,Bachelors,White,Mixed Gender,0.0,1.0,575.8736506258698,967.4677330514612,1543.341383677331,0
349593,2017-02-01,2017,2,322741.13583155663,3.0,3.0,New Jersey,1,4,4,0,0,4,0,Graduate Degree,Asian/PI,Mixed Gender,0.0,1.0,838.9348967039074,1157.506037757998,1996.4409344619053,0
349594,2017-02-01,2017,2,118663.14360015532,4.0,2.0,Indiana,1,2,2,2,0,0,2,High School,White,Mixed Gender,0.0,1.0,0.0,1572.1350662086245,1572.1350662086245,0
349600,2017-02-01,2017,2,56945.99031849722,3.0,2.0,Ohio,1,1,1,1,0,1,0,Bachelors,White,Male,0.0,1.0,898.3628949763568,1549.1001201835884,2447.463015159945,0
349609,2017-02-01,2017,2,76770.67804500287,3.0,2.0,Louisiana,1,1,1,1,0,1,0,Some College,White,Male,0.0,1.0,1075.731979369123,2217.1135549095998,3292.845534278723,0
349644,2017-02-01,2017,2,100061.12383916102,2.0,2.0,California,1,3,3,1,0,2,0,Some College,Asian/PI,Mixed Gender,1.0,0.0,1831.2782089902655,1981.0053581529903,3812.283567143256,0
349657,2017-02-01,2017,2,23751.01470447484,1.0,1.0,Florida,1,1,1,1,0,0,1,Some College,White,Female,0.0,1.0,673.7721712322675,1197.8171933018102,1871.5893645340775,0
349659,2017-02-01,2017,2,357706.79665991775,4.0,3.0,Alabama,1,2,2,0,0,2,0,Graduate Degree,White,Mixed Gender,0.0,1.0,1566.3763297023645,2090.421351771907,3656.797681474272,1
349674,2017-02-01,2017,2,68947.44166417453,2.0,1.0,California,1,1,1,0,0,1,0,Some College,Black,Male,0.0,1.0,748.6357458136317,1048.0900441390816,1796.7257899527133,0
349700,2017-02-01,2017,2,144775.83800643368,4.0,2.0,Texas,1,2,2,1,0,0,1,Some College,White,Mixed Gender,0.0,1.0,598.9085966509033,1871.5893645340773,2470.497961184981,0
349701,2017-02-01,2017,2,7354.39377751195,1.0,1.0,California,1,1,1,0,0,1,0,High School,White,Male,1.0,0.0,259.2548330936728,224.5907237440892,483.845556837762,0
349712,2017-02-01,2017,2,355758.80160809925,4.0,3.0,Florida,1,5,2,0,3,2,0,Bachelors,White,Mixed Gender,0.0,1.0,1497.27149162726,2620.225110347706,4117.496601974966,0
349747,2017-02-01,2017,2,33642.90416003396,3.0,1.0,Texas,1,2,2,2,0,0,0,Less than High School,White,Mixed Gender,0.0,1.0,512.5275490570228,1462.7190725897078,1975.2466216467303,0
349760,2017-02-01,2017,2,194262.40461128383,4.0,3.0,Virginia,1,3,2,0,1,2,0,Graduate Degree,Asian/PI,Mixed Gender,0.0,1.0,1295.666567279361,2044.3514597218384,3340.0180270012,0
349779,2017-02-01,2017,2,310599.3764420927,3.0,2.0,Connecticut,1,2,2,0,0,2,0,Bachelors,White,Mixed Gender,0.0,1.0,1296.8674612094574,2427.883311038668,3724.750772248125,0
349807,2017-02-01,2017,2,16376.166519269187,3.0,1.0,Ohio,1,1,1,1,0,0,1,Less than High School,White,Female,0.0,1.0,0.0,598.9085966509033,598.9085966509033,0
349826,2017-02-01,2017,2,41379.95623878208,3.0,1.0,North Carolina,1,1,1,0,0,1,0,High School,White,Male,0.0,1.0,748.6357458136317,2769.9522595104336,3518.5880053240653,0
349830,2017-02-01,2017,2,121035.395243014,4.0,2.0,Arizona,1,1,1,0,0,1,0,Some College,White,Male,0.0,1.0,4330.6800383928,2568.396481791381,6899.076520184181,1
349862,2017-02-01,2017,2,23855.814815804388,2.0,1.0,Texas,1,4,2,0,2,1,0,High School,White,Mixed Gender,1.0,0.0,374.31787290681416,973.2264695577198,1347.544342464534,0
349882,2017-02-01,2017,2,25740.378221291827,3.0,1.0,Illinois,1,5,2,0,3,1,0,Bachelors,Asian/PI,Mixed Gender,1.0,0.0,2376.731982123748,1826.67121978526,4203.403201909008,0
349886,2017-02-01,2017,2,199373.01881223804,3.0,3.0,Minnesota,1,3,2,0,1,3,0,Some College,White,Mixed Gender,0.0,1.0,760.4324446062266,1048.0900441390816,1808.522488745308,0
349888,2017-02-01,2017,2,46579.51263948304,3.0,2.0,South Carolina,1,1,1,1,0,1,0,Bachelors,White,Male,0.0,1.0,179.67257899527135,359.3451579905427,539.017736985814,0
349906,2017-02-01,2017,2,206882.5443334944,3.0,2.0,Michigan,1,4,2,0,2,2,0,Graduate Degree,White,Mixed Gender,0.0,1.0,2651.1650182691965,1266.922031376915,3918.087049646111,0
349918,2017-02-01,2017,2,226462.4686420922,3.0,2.0,California,1,5,2,0,3,2,0,Graduate Degree,Asian/PI,Mixed Gender,0.0,1.0,2222.872291415856,2695.08868492907,4917.960976344926,0
349924,2017-02-01,2017,2,66584.15318873218,1.0,1.0,Wisconsin,1,1,1,0,0,1,0,Some College,White,Female,1.0,0.0,44.91814474881784,590.8463655421423,635.7645102909601,0
349937,2017-02-01,2017,2,172368.60416043634,4.0,2.0,New York,1,1,1,0,0,1,0,Some College,White,Male,0.0,1.0,2994.542983254524,955.9502600389446,3950.493243293469,0
349949,2017-02-01,2017,2,126021.55931176434,2.0,2.0,Illinois,1,2,2,2,0,0,2,Graduate Degree,White,Mixed Gender,0.0,1.0,2994.542983254524,2695.08868492907,5689.631668183594,1
349959,2017-02-01,2017,2,262902.91524765006,1.0,1.0,California,1,2,2,0,0,1,0,Graduate Degree,White,Male,1.0,0.0,748.6357458136317,2994.5429832545205,3743.178729068152,0
349966,2017-02-01,2017,2,114797.4903708506,4.0,2.0,New York,1,1,1,0,0,1,0,Bachelors,Black,Male,0.0,1.0,2994.542983254524,673.7721712322675,3668.315154486792,0
349979,2017-02-01,2017,2,41860.29008237583,2.0,1.0,California,1,2,2,1,0,0,1,Graduate Degree,White,Mixed Gender,0.0,1.0,239.56343866036167,1698.8272693463168,1938.3907080066783,0
349984,2017-02-01,2017,2,10226.284547630368,1.0,1.0,Texas,1,1,1,1,0,0,0,Bachelors,White,Male,1.0,0.0,149.727149162726,823.4993203949925,973.2264695577184,0
350050,2017-02-01,2017,2,45964.96110944969,2.0,1.0,Oregon,1,1,1,0,0,1,0,High School,White,Male,1.0,0.0,1497.27149162726,973.226469557721,2470.497961184981,0
350065,2017-02-01,2017,2,77459.00333761689,1.0,1.0,Connecticut,1,2,2,0,0,1,1,High School,White,Mixed Gender,0.0,1.0,598.9085966509033,2096.180088278163,2695.0886849290664,0
350083,2017-02-01,2017,2,343341.597189187,4.0,3.0,Massachuse,1,5,2,0,3,2,0,Graduate Degree,White,Mixed Gender,0.0,1.0,2100.6560198062493,2695.08868492907,4795.74470473532,0
350092,2017-02-01,2017,2,31964.033955511317,1.0,1.0,California,1,5,2,0,3,1,0,Less than High School,White,Mixed Gender,1.0,0.0,299.4542983254523,1122.9536187204458,1422.407917045898,0
350108,2017-02-01,2017,2,56562.18289323332,2.0,1.0,Nebraska,1,2,2,0,0,2,0,Some College,White,Mixed Gender,1.0,0.0,673.7721712322675,1618.0822493780363,2291.854420610304,0
350162,2017-02-01,2017,2,40773.678401748446,3.0,1.0,Ohio,1,1,1,0,0,1,0,Bachelors,Black,Male,0.0,1.0,497.599510265564,777.4294283449242,1275.0289386104882,0
350163,2017-02-01,2017,2,262902.91524765006,3.0,2.0,Washington,1,2,2,0,0,1,0,Less than High School,White,Mixed Gender,0.0,1.0,0.0,1497.2714916272623,1497.2714916272623,0
350171,2017-02-01,2017,2,68947.44166417453,3.0,2.0,California,1,1,1,0,0,1,0,Some College,White,Male,1.0,0.0,1514.5477011460362,1543.341383677331,3057.889084823367,0
350191,2017-02-01,2017,2,160412.42830145182,4.0,3.0,California,1,5,2,0,3,2,0,Graduate Degree,Multi or Other Race,Mixed Gender,0.0,1.0,748.6357458136317,1954.5151702242028,2703.1509160378346,0
350213,2017-02-01,2017,2,48814.78869823557,3.0,2.0,Florida,1,4,3,0,1,2,0,Some College,White,Mixed Gender,1.0,0.0,748.6357458136317,1572.1350662086245,2320.770812022256,0
350223,2017-02-01,2017,2,87437.30692006176,,,Washington,1,1,1,0,0,1,0,Some College,White,Male,1.0,0.0,281.0263415054243,1038.8760657290702,1319.9024072344946,0
350226,2017-02-01,2017,2,63566.78331670235,2.0,1.0,Florida,1,2,2,0,0,2,0,High School,White,Mixed Gender,1.0,0.0,0.0,4491.814474881783,4491.814474881783,0
